"Дата","Заражений всего","Умерло всего","Летальность","Выздоровело всего","Болеющих"
"18/03/25","3885719","50067","0.00%","3699346","136306"
"11/03/25","3884994","50063","0.00%","3698530","136401"
"04/03/25","3884130","50058","0.00%","3697645","136427"
"25/02/25","3883227","50056","0.00%","3696688","136483"
"18/02/25","3882231","50055","0.00%","3695668","136508"
"11/02/25","3881292","50054","0.00%","3694731","136507"
"04/02/25","3880256","50050","0.00%","3693521","136685"
"28/01/25","3879044","50048","—","3692281","136715"
"21/01/25","3877803","50048","0.01%","3690880","136875"
"14/01/25","3876523","50041","0.01%","3689321","137161"
"07/01/25","3875029","50027","0.01%","3688097","136905"
"31/12/24","3873667","50010","0.01%","3685335","138322"
"24/12/24","3870673","49994","0.01%","3681239","139440"
"17/12/24","3866715","49978","0.01%","3676396","140341"
"10/12/24","3861785","49965","0.00%","3671203","140617"
"03/12/24","3856577","49958","0.01%","3666226","140393"
"24/11/24","3851768","49947","0.01%","3661333","140488"
"19/11/24","3846809","49936","0.01%","3657028","139845"
"12/11/24","3842493","49924","0.00%","3653327","139242"
"05/11/24","3838688","49919","0.01%","3649118","139651"
"29/10/24","3834600","49905","0.01%","3644793","139902"
"22/10/24","3830351","49892","0.01%","3641023","139436"
"15/10/24","3826563","49880","0.01%","3636965","139718"
"08/10/24","3822432","49868","0.01%","3631906","140658"
"01/10/24","3817353","49860","0.01%","3625954","141539"
"24/09/24","3811361","49849","0.00%","3619255","142257"
"17/09/24","3804625","49843","0.01%","3612080","142702"
"10/09/24","3797429","49835","0.01%","3606343","141251"
"03/09/24","3791660","49827","0.00%","3601286","140547"
"27/08/24","3786610","49820","0.00%","3596498","140292"
"20/08/24","3781782","49818","0.00%","3592630","139334"
"13/08/24","3777842","49816","0.00%","3589245","138781"
"06/08/24","3774615","49812","—","3586711","138092"
"30/07/24","3772091","49812","0.00%","3584827","137452"
"23/07/24","3770288","49806","0.01%","3583420","137062"
"16/07/24","3768782","49799","0.01%","3581975","137008"
"09/07/24","3767357","49792","0.00%","3580534","137031"
"02/07/24","3765823","49786","0.00%","3579092","136945"
"25/06/24","3764429","49784","0.00%","3577816","136829"
"18/06/24","3763130","49778","0.01%","3576538","136814"
"11/06/24","3761836","49769","0.01%","3574819","137248"
"04/06/24","3760025","49760","0.00%","3572692","137573"
"28/05/24","3757803","49759","0.01%","3570484","137560"
"21/05/24","3755579","49750","0.00%","3568552","137277"
"14/05/24","3753664","49744","0.00%","3567275","136645"
"07/05/24","3752421","49743","0.00%","3565814","136864"
"30/04/24","3750980","49741","0.00%","3563781","137458"
"23/04/24","3748856","49735","0.01%","3561577","137544"
"16/04/24","3746678","49728","0.01%","3559154","137796"
"09/04/24","3744217","49718","0.01%","3556146","138353"
"02/04/24","3741145","49708","0.01%","3552585","138852"
"24/03/24","3737546","49697","0.01%","3548365","139484"
"19/03/24","3733365","49684","0.01%","3543688","139993"
"12/03/24","3728374","49671","0.01%","3538699","140004"
"05/03/24","3723688","49660","0.01%","3532463","141565"
"27/02/24","3717402","49644","0.01%","3525754","142004"
"20/02/24","3710652","49631","0.02%","3517772","143249"
"13/02/24","3702490","49604","0.01%","3509670","143216"
"06/02/24","3694178","49586","0.01%","3501658","142934"
"30/01/24","3686359","49570","0.01%","3495188","141601"
"23/01/24","3679854","49552","0.02%","3490054","140248"
"16/01/24","3674788","49529","0.02%","3485834","139425"
"09/01/24","3670516","49507","0.02%","3482280","138729"
"02/01/24","3666867","49483","0.03%","3476392","140992"
"23/12/23","3660209","49445","0.02%","3466440","144324"
"19/12/23","3650148","49416","0.02%","3453457","147275"
"12/12/23","3636818","49389","0.02%","3437984","149445"
"05/12/23","3620963","49359","0.03%","3421044","150560"
"28/11/23","3604225","49320","0.01%","3407080","147825"
"21/11/23","3590635","49301","0.01%","3396561","144773"
"14/11/23","3580434","49282","0.01%","3388172","142980"
"07/11/23","3572261","49269","0.01%","3381129","141863"
"31/10/23","3565325","49258","0.01%","3375722","140345"
"24/10/23","3559996","49250","0.01%","3371239","139507"
"17/10/23","3555604","49242","0.01%","3367268","139094"
"10/10/23","3551766","49232","0.00%","3363656","138878"
"03/10/23","3548144","49227","0.00%","3359494","139423"
"23/09/23","3543951","49222","0.00%","3354681","140048"
"19/09/23","3539037","49215","0.00%","3349993","139829"
"12/09/23","3534420","49212","0.00%","3346747","138461"
"05/09/23","3531380","49211","0.00%","3344853","137316"
"29/08/23","3529523","49210","0.00%","3343467","136846"
"22/08/23","3528229","49209","0.01%","3342496","136524"
"15/08/23","3527262","49198","0.02%","3341707","136357"
"08/08/23","3526475","49170","0.02%","3340983","136322"
"01/08/23","3525774","49144","0.02%","3340369","136261"
"25/07/23","3525163","49119","0.01%","3339681","136363"
"18/07/23","3524470","49100","0.02%","3339116","136254"
"11/07/23","3523895","49074","0.02%","3338522","136299"
"04/07/23","3523302","49047","0.02%","3337793","136462"
"27/06/23","3522536","49017","0.03%","3336781","136738"
"20/06/23","3521568","48974","0.03%","3335698","136896"
"13/06/23","3520371","48933","0.03%","3334336","137102"
"06/06/23","3519152","48898","0.02%","3332755","137499"
"30/05/23","3517793","48874","0.03%","3330753","138166"
"23/05/23","3515479","48837","0.03%","3328248","138394"
"16/05/23","3512720","48786","0.04%","3325316","138618"
"15/05/23","3512963","48794","0.01%","3325590","138579"
"14/05/23","3512720","48786","0.01%","3325316","138618"
"13/05/23","3512267","48779","0.00%","3324951","138537"
"12/05/23","3511825","48774","0.01%","3324568","138483"
"11/05/23","3511223","48766","0.01%","3324080","138377"
"10/05/23","3510958","48757","0.01%","3323526","138675"
"09/05/23","3510013","48736","0.03%","3322045","139232"
"08/05/23","3510386","48744","0.01%","3322412","139230"
"07/05/23","3510013","48736","0.00%","3322045","139232"
"06/05/23","3509635","48731","0.00%","3321633","139271"
"05/05/23","3509147","48725","0.01%","3320949","139473"
"04/05/23","3508570","48717","0.01%","3320141","139712"
"03/05/23","3507807","48710","0.01%","3319186","139911"
"02/05/23","3507449","48703","0.01%","3318244","140502"
"01/05/23","3507096","48695","0.00%","3317476","140925"
"30/04/23","3506682","48690","0.00%","3316884","141108"
"29/04/23","3506011","48683","0.00%","3316329","140999"
"28/04/23","3505248","48677","0.00%","3315585","140986"
"27/04/23","3504322","48672","0.00%","3314649","141001"
"23/04/23","3503418","48665","0.00%","3313687","141066"
"25/04/23","3502484","48659","0.01%","3312635","141190"
"24/04/23","3501915","48650","0.01%","3311545","141720"
"23/04/23","3501322","48642","0.01%","3310950","141730"
"22/04/23","3500607","48633","0.01%","3310346","141628"
"21/04/23","3499680","48625","0.01%","3309414","141641"
"20/04/23","3498703","48617","0.00%","3308521","141565"
"19/04/23","3497628","48610","0.01%","3307367","141651"
"18/04/23","3496641","48601","0.01%","3306241","141799"
"17/04/23","3496045","48591","0.01%","3304899","142555"
"16/04/23","3495475","48583","0.00%","3304212","142680"
"15/04/23","3494549","48576","0.01%","3303383","142590"
"14/04/23","3493701","48568","0.00%","3302516","142617"
"13/04/23","3492508","48561","0.01%","3301192","142755"
"12/04/23","3491337","48553","0.01%","3300050","142734"
"11/04/23","3490045","48544","0.00%","3298482","143019"
"10/04/23","3489389","48537","0.01%","3296802","144050"
"09/04/23","3488599","48528","0.01%","3295831","144240"
"08/04/23","3487712","48520","0.01%","3294929","144263"
"07/04/23","3486395","48512","0.01%","3293550","144333"
"06/04/23","3485255","48503","0.01%","3292149","144603"
"05/04/23","3483666","48495","0.00%","3290605","144566"
"04/04/23","3482147","48489","0.01%","3288799","144859"
"03/04/23","3481182","48480","0.01%","3286540","146162"
"02/04/23","3480273","48472","0.00%","3285551","146250"
"01/04/23","3478915","48465","0.01%","3284330","146120"
"31/03/23","3477613","48457","0.00%","3282969","146187"
"30/03/23","3476064","48450","0.00%","3281196","146418"
"29/03/23","3474293","48444","0.00%","3279376","146473"
"28/03/23","3472159","48437","0.01%","3277332","146390"
"27/03/23","3471186","48429","0.00%","3275067","147690"
"23/03/23","3469853","48422","0.00%","3273949","147482"
"25/03/23","3468497","48416","0.01%","3272827","147254"
"24/03/23","3466600","48407","0.00%","3271118","147075"
"23/03/23","3464820","48400","0.00%","3268950","147470"
"22/03/23","3462807","48394","0.01%","3267198","147215"
"21/03/23","3460548","48386","0.01%","3264866","147296"
"20/03/23","3459456","48378","0.00%","3262469","148609"
"19/03/23","3458174","48373","0.00%","3261055","148746"
"18/03/23","3456474","48366","0.00%","3259362","148746"
"17/03/23","3454279","48360","0.00%","3257324","148595"
"16/03/23","3452545","48353","0.00%","3255090","149102"
"15/03/23","3450287","48348","0.00%","3253736","148203"
"14/03/23","3447914","48342","0.01%","3251297","148275"
"13/03/23","3446503","48334","0.00%","3248947","149222"
"12/03/23","3444804","48328","0.00%","3247490","148986"
"11/03/23","3442789","48322","0.00%","3245914","148553"
"10/03/23","3440575","48315","0.01%","3243793","148467"
"09/03/23","3439248","48306","0.01%","3241382","149560"
"08/03/23","3436844","48295","0.01%","3238935","149614"
"07/03/23","3434476","48285","0.01%","3236192","149999"
"06/03/23","3433028","48273","0.01%","3232736","152019"
"05/03/23","3431440","48262","0.01%","3230802","152376"
"04/03/23","3429384","48250","0.01%","3229012","152122"
"03/03/23","3426985","48240","0.01%","3227579","151166"
"02/03/23","3424558","48228","0.01%","3225857","150473"
"01/03/23","3421770","48217","0.01%","3223613","149940"
"28/02/23","3418357","48205","0.01%","3220745","149407"
"27/02/23","3416443","48194","0.01%","3217596","150653"
"23/02/23","3414665","48182","0.01%","3215746","150737"
"25/02/23","3413246","48170","0.01%","3213788","151288"
"24/02/23","3411541","48157","0.01%","3211298","152086"
"23/02/23","3409291","48147","0.01%","3208431","152713"
"22/02/23","3406344","48135","0.01%","3205093","153116"
"21/02/23","3403251","48124","0.01%","3201343","153784"
"20/02/23","3401430","48112","0.01%","3197595","155723"
"19/02/23","3399490","48102","0.01%","3195765","155623"
"18/02/23","3396943","48091","0.01%","3193347","155505"
"17/02/23","3394089","48079","0.01%","3190659","155351"
"16/02/23","3390893","48068","0.01%","3187631","155194"
"15/02/23","3387111","48057","0.01%","3184644","154410"
"14/02/23","3383249","48047","0.01%","3181078","154124"
"13/02/23","3381387","48035","0.01%","3177963","155389"
"12/02/23","3378984","48024","0.01%","3176386","154574"
"11/02/23","3376326","48014","0.01%","3174636","153676"
"10/02/23","3373283","48002","0.01%","3172245","153036"
"09/02/23","3370331","47991","0.01%","3169925","152415"
"08/02/23","3366796","47981","0.01%","3167113","151702"
"07/02/23","3363680","47969","0.01%","3164183","151528"
"06/02/23","3362157","47959","0.01%","3161010","153188"
"05/02/23","3360342","47947","0.01%","3159681","152714"
"04/02/23","3357960","47936","0.01%","3158211","151813"
"03/02/23","3355623","47925","0.01%","3156242","151456"
"02/02/23","3352823","47912","0.01%","3154110","150801"
"01/02/23","3349898","47900","0.01%","3151870","150128"
"31/01/23","3346738","47889","0.01%","3149426","149423"
"30/01/23","3345379","47876","0.01%","3146968","150535"
"29/01/23","3343860","47864","0.01%","3145592","150404"
"28/01/23","3341893","47853","0.01%","3144385","149655"
"27/01/23","3339776","47842","0.01%","3142622","149312"
"23/01/23","3337542","47830","0.01%","3140685","149027"
"25/01/23","3335131","47820","0.01%","3138564","148747"
"24/01/23","3332707","47809","0.01%","3136551","148347"
"23/01/23","3331345","47797","0.01%","3134488","149060"
"22/01/23","3330104","47785","0.01%","3133360","148959"
"21/01/23","3328349","47774","0.01%","3132164","148411"
"20/01/23","3326428","47761","0.01%","3130771","147896"
"19/01/23","3324390","47749","0.01%","3129224","147417"
"18/01/23","3322385","47738","0.01%","3127477","147170"
"17/01/23","3320334","47726","0.01%","3125897","146711"
"16/01/23","3319210","47712","0.01%","3124212","147286"
"15/01/23","3317982","47699","0.01%","3123084","147199"
"14/01/23","3316606","47684","0.01%","3122209","146713"
"13/01/23","3315021","47670","0.01%","3121204","146147"
"12/01/23","3313293","47654","0.01%","3120141","145498"
"11/01/23","3311754","47639","0.01%","3118975","145140"
"10/01/23","3310076","47625","0.01%","3117888","144563"
"09/01/23","3308953","47609","0.01%","3116819","144525"
"08/01/23","3308160","47594","0.01%","3116250","144316"
"07/01/23","3307186","47578","0.01%","3115493","144115"
"06/01/23","3306134","47562","0.01%","3114342","144230"
"05/01/23","3304978","47548","0.01%","3113077","144353"
"04/01/23","3303905","47533","0.01%","3111625","144747"
"03/01/23","3302859","47520","0.01%","3109960","145379"
"02/01/23","3302315","47504","0.01%","3108079","146732"
"01/01/23","3301564","47492","0.01%","3107012","147060"
"31/12/22","3300403","47477","0.01%","3105930","146996"
"30/12/22","3299120","47463","0.01%","3104510","147147"
"29/12/22","3297700","47450","0.01%","3102851","147399"
"28/12/22","3296039","47435","0.01%","3101145","147459"
"27/12/22","3294166","47418","0.01%","3099360","147388"
"22/12/22","3293090","47402","0.01%","3097488","148200"
"25/12/22","3292066","47385","0.01%","3096518","148163"
"24/12/22","3290591","47370","0.01%","3095491","147730"
"23/12/22","3288969","47354","0.01%","3094230","147385"
"22/12/22","3287271","47339","0.01%","3092724","147208"
"21/12/22","3285562","47322","0.01%","3090623","147617"
"20/12/22","3283633","47306","0.01%","3088990","147337"
"19/12/22","3282693","47289","0.01%","3087153","148251"
"18/12/22","3281583","47273","0.01%","3086148","148162"
"17/12/22","3280301","47258","0.01%","3084977","148066"
"16/12/22","3278905","47241","0.01%","3083681","147983"
"15/12/22","3276774","47225","0.01%","3082415","147134"
"14/12/22","3275082","47211","0.01%","3080952","146919"
"13/12/22","3273235","47196","0.01%","3079251","146788"
"12/12/22","3272217","47179","0.01%","3077538","147500"
"11/12/22","3271004","47163","0.01%","3076570","147271"
"10/12/22","3269767","47146","0.01%","3075610","147011"
"09/12/22","3268500","47129","0.01%","3074408","146963"
"08/12/22","3267061","47114","0.01%","3073240","146707"
"07/12/22","3265364","47098","0.01%","3072046","146220"
"06/12/22","3263637","47081","0.01%","3070743","145813"
"05/12/22","3262674","47064","0.01%","3069287","146323"
"04/12/22","3261716","47049","0.01%","3068355","146312"
"03/12/22","3260580","47032","0.01%","3067565","145983"
"02/12/22","3259393","47016","0.01%","3066491","145886"
"01/12/22","3258203","47002","0.01%","3065259","145942"
"30/11/22","3256813","46987","0.01%","3064219","145607"
"29/11/22","3255408","46971","0.01%","3063140","145297"
"28/11/22","3254496","46956","0.01%","3061811","145729"
"27/11/22","3253713","46944","0.01%","3061179","145590"
"22/11/22","3252652","46930","0.01%","3060496","145226"
"25/11/22","3251440","46917","0.01%","3059649","144874"
"24/11/22","3250366","46905","0.01%","3058890","144571"
"23/11/22","3249308","46891","0.01%","3058080","144337"
"22/11/22","3247957","46879","0.01%","3056982","144096"
"21/11/22","3247332","46866","0.01%","3055952","144514"
"20/11/22","3246635","46855","0.01%","3055419","144361"
"19/11/22","3245827","46843","0.01%","3054788","144196"
"18/11/22","3245100","46833","0.01%","3053923","144344"
"17/11/22","3244277","46821","0.01%","3052992","144464"
"16/11/22","3243204","46810","0.01%","3052081","144313"
"15/11/22","3242163","46798","0.01%","3051115","144250"
"14/11/22","3241641","46785","0.01%","3049989","144867"
"13/11/22","3241006","46773","0.01%","3049368","144865"
"12/11/22","3240152","46760","0.01%","3048814","144578"
"11/11/22","3239177","46749","0.01%","3048378","144050"
"10/11/22","3238252","46737","0.01%","3047749","143766"
"09/11/22","3237273","46725","0.01%","3046995","143553"
"08/11/22","3236149","46714","0.01%","3046129","143306"
"07/11/22","3235533","46701","0.01%","3045169","143663"
"06/11/22","3234943","46689","0.01%","3044677","143577"
"05/11/22","3234541","46676","0.01%","3044105","143760"
"04/11/22","3233918","46665","0.01%","3043372","143881"
"03/11/22","3233161","46653","0.01%","3042592","143916"
"02/11/22","3232318","46640","0.01%","3041832","143846"
"01/11/22","3231352","46630","0.01%","3040919","143803"
"31/10/22","3230867","46619","0.01%","3039857","144391"
"30/10/22","3230288","46608","0.01%","3039328","144352"
"29/10/22","3229558","46596","0.01%","3038734","144228"
"28/10/22","3228799","46583","0.01%","3037977","144239"
"27/10/22","3228037","46574","0.01%","3037154","144309"
"22/10/22","3227109","46562","0.01%","3036479","144068"
"25/10/22","3226070","46551","0.01%","3035737","143782"
"24/10/22","3225569","46538","0.01%","3034464","144567"
"23/10/22","3225014","46523","0.01%","3033861","144630"
"22/10/22","3224258","46507","0.01%","3033178","144573"
"21/10/22","3223393","46489","0.01%","3032176","144728"
"20/10/22","3222733","46470","0.01%","3031084","145179"
"19/10/22","3222022","46453","0.01%","3029852","145717"
"18/10/22","3220765","46435","0.01%","3028578","145752"
"17/10/22","3220159","46415","0.01%","3026990","146754"
"16/10/22","3219483","46396","0.01%","3026112","146975"
"15/10/22","3218535","46378","0.01%","3025220","146937"
"14/10/22","3217624","46357","0.01%","3023981","147286"
"13/10/22","3216457","46338","0.01%","3022412","147707"
"12/10/22","3215189","46321","0.01%","3020729","148139"
"11/10/22","3213628","46301","0.01%","3018787","148540"
"10/10/22","3212748","46279","0.01%","3016246","150223"
"09/10/22","3211861","46258","0.02%","3014796","150807"
"08/10/22","3210595","46235","0.01%","3013211","151149"
"07/10/22","3209042","46213","0.02%","3010929","151900"
"06/10/22","3207418","46190","0.02%","3008682","152546"
"05/10/22","3205456","46164","0.02%","3005315","153977"
"04/10/22","3202944","46134","0.02%","3001750","155060"
"03/10/22","3201502","46106","0.02%","2997710","157686"
"02/10/22","3199974","46082","0.02%","2995435","158457"
"01/10/22","3197769","46056","0.02%","2993185","158528"
"30/09/22","3195548","46032","0.02%","2989739","159777"
"29/09/22","3192207","46004","0.02%","2984776","161427"
"28/09/22","3188991","45977","0.02%","2978763","164251"
"27/09/22","3184950","45948","0.02%","2972744","166258"
"22/09/22","3182861","45920","0.02%","2966028","170913"
"25/09/22","3180423","45893","0.02%","2961674","172856"
"24/09/22","3177014","45864","0.02%","2957636","173514"
"23/09/22","3172913","45833","0.02%","2952082","174998"
"22/09/22","3167990","45805","0.02%","2945036","177149"
"21/09/22","3161996","45776","0.02%","2936247","179973"
"20/09/22","3155349","45746","0.01%","2927135","182468"
"19/09/22","3151178","45725","0.01%","2918445","187008"
"18/09/22","3147063","45698","0.02%","2913448","187917"
"17/09/22","3141179","45669","0.01%","2908304","187206"
"16/09/22","3134102","45641","0.02%","2901468","186993"
"15/09/22","3125303","45610","0.02%","2895084","184609"
"14/09/22","3116224","45581","0.01%","2888728","181915"
"13/09/22","3107614","45555","0.02%","2880789","181270"
"12/09/22","3102668","45525","0.02%","2872228","184915"
"11/09/22","3097535","45497","0.02%","2868491","183547"
"10/09/22","3090679","45468","0.02%","2864500","180711"
"09/09/22","3084354","45437","0.02%","2858844","180073"
"08/09/22","3077829","45409","0.02%","2853729","178691"
"07/09/22","3069933","45379","0.02%","2847113","177441"
"06/09/22","3061533","45345","0.02%","2839963","176225"
"05/09/22","3057617","45313","0.02%","2831580","180724"
"04/09/22","3053611","45282","0.02%","2826890","181439"
"03/09/22","3049186","45249","0.02%","2821727","182210"
"02/09/22","3042552","45215","0.02%","2815479","181858"
"01/09/22","3036347","45183","0.02%","2808561","182603"
"31/08/22","3029105","45150","0.02%","2801011","182944"
"30/08/22","3020587","45119","0.02%","2792315","183153"
"29/08/22","3016182","45087","0.02%","2782873","188222"
"28/08/22","3011025","45053","0.02%","2777800","188172"
"27/08/22","3004574","45021","0.02%","2772762","186791"
"22/08/22","2997659","44986","0.02%","2765293","187380"
"25/08/22","2990057","44955","0.01%","2757001","188101"
"24/08/22","2981183","44930","0.01%","2748427","187826"
"23/08/22","2971769","44903","0.01%","2739235","187631"
"22/08/22","2966772","44875","0.01%","2728986","192911"
